iter	Passed	Remaining
793	4680	1214
794	4686	1208
795	4692	1202
796	4697	1196
797	4703	1190
798	4708	1184
799	4713	1178
800	4718	1172
801	4723	1166
802	4729	1160
803	4734	1154
804	4739	1148
805	4745	1142
806	4750	1136
807	4755	1129
808	4761	1124
809	4766	1118
810	4771	1111
811	4777	1106
812	4782	1100
813	4787	1093
814	4793	1088
815	4798	1081
816	4803	1075
817	4808	1069
818	4813	1063
819	4819	1057
820	4824	1051
821	4829	1045
822	4835	1039
823	4840	1033
824	4846	1027
825	4851	1021
826	4857	1016
827	4861	1009
828	4866	1003
829	4872	997
830	4877	991
831	4882	985
832	4887	979
833	4892	973
834	4897	967
835	4903	961
836	4908	955
837	4913	949
838	4919	944
839	4926	938
840	4932	932
841	4939	926
842	4946	921
843	4954	915
844	4959	909
845	4965	903
846	4971	897
847	4976	892
848	4981	886
849	4987	880
850	4990	873
851	4995	867
852	5000	861
853	5006	855
854	5010	849
855	5016	843
856	5021	837
857	5026	831
858	5031	825
859	5037	820
860	5043	814
861	5048	808
862	5054	802
863	5059	796
864	5064	790
865	5070	784
866	5075	778
867	5080	772
868	5085	766
869	5090	760
870	5095	754
871	5101	748
872	5106	742
873	5111	736
874	5117	731
875	5122	725
876	5127	719
877	5134	713
878	5140	707
879	5145	701
880	5152	695
881	5158	690
882	5165	684
883	5172	678
884	5179	673
885	5185	667
886	5190	661
887	5195	655
888	5201	649
889	5206	643
890	5211	637
891	5217	631
892	5222	625
893	5227	619
894	5233	613
895	5238	608
896	5243	602
897	5248	596
898	5253	590
899	5258	584
900	5264	578
901	5269	572
902	5274	566
903	5280	560
904	5285	554
905	5291	548
906	5296	543
907	5301	537
908	5307	531
909	5312	525
910	5317	519
911	5322	513
912	5328	507
913	5333	501
914	5338	495
915	5343	490
916	5349	484
917	5354	478
918	5359	472
919	5365	466
920	5370	460
921	5375	454
922	5381	448
923	5386	443
924	5391	437
925	5396	431
926	5401	425
927	5406	419
928	5412	413
929	5417	407
930	5423	401
931	5429	396
932	5434	390
933	5438	384
934	5444	378
935	5450	372
936	5455	366
937	5460	360
938	5465	355
939	5470	349
940	5476	343
941	5481	337
942	5486	331
943	5492	325
944	5497	319
945	5502	314
946	5507	308
947	5512	302
948	5517	296
949	5523	290
950	5528	284
951	5533	278
952	5539	273
953	5544	267
954	5549	261
955	5555	255
956	5560	249
957	5566	244
958	5571	238
959	5576	232
960	5582	226
961	5587	220
962	5592	214
963	5597	209
964	5602	203
965	5608	197
966	5613	191
967	5618	185
968	5626	180
969	5632	174
970	5637	168
971	5642	162
972	5647	156
973	5653	150
974	5658	145
975	5664	139
976	5672	133
977	5678	127
978	5685	121
979	5692	116
980	5698	110
981	5705	104
982	5711	98
983	5717	92
984	5723	87
985	5730	81
986	5737	75
987	5743	69
988	5749	63
989	5756	58
990	5762	52
991	5771	46
992	5779	40
993	5789	34
994	5796	29
995	5803	23
996	5809	17
997	5815	11
998	5822	5
999	5828	0
